PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Tim Hardaway Jr.,New York Knicks,139,52,60,91,72,37,26,5
Timofey Mozgov,Brooklyn Nets,43,4,19,85,8,29,5,9
Timothe Luwawu-Cabarrot,Philadelphia 76ers,72,33,37,58,36,29,10,2
Tobias Harris,Los Angeles Clippers,271,101,95,209,73,39,29,9
Tomas Satoransky,Washington Wizards,63,15,23,76,83,20,15,2
Tony Allen,New Orleans Pelicans,44,4,11,47,9,19,11,3
Tony Bradley,Utah Jazz,3,0,2,11,1,0,0,0
Tony Parker,San Antonio Spurs,64,2,16,37,69,30,7,1
Tony Snell,Milwaukee Bucks,103,55,29,80,48,18,23,12
Torrey Craig,Denver Nuggets,15,6,12,33,12,7,6,3
Treveon Graham,Charlotte Hornets,49,21,21,62,29,16,12,1
Trevor Ariza,Houston Rockets,162,107,46,190,69,34,60,8
Trevor Booker,Indiana Pacers,105,3,39,180,51,41,17,10
Trey Lyles,Denver Nuggets,148,51,55,182,36,33,19,13
Tristan Thompson,Cleveland Cavaliers,46,0,21,126,12,12,5,8
Troy Daniels,Phoenix Suns,114,90,32,52,25,29,10,2
Troy Williams,New York Knicks,2,0,1,4,1,1,1,0
Tyler Cavanaugh,Atlanta Hawks,55,26,13,98,25,10,9,3
Tyler Dorsey,Atlanta Hawks,14,11,6,16,5,6,2,1
Tyler Ennis,Los Angeles Lakers,26,2,12,30,40,10,10,4
Tyler Johnson,Miami Heat,164,62,69,137,82,47,30,24
Tyler Lydon,Denver Nuggets,0,0,0,0,0,0,0,0
Tyler Ulis,Phoenix Suns,117,21,53,78,177,77,43,3
Tyler Zeller,Milwaukee Bucks,109,8,38,166,26,35,8,18
Tyreke Evans,Memphis Grizzlies,289,88,124,202,184,80,43,14
Tyrone Wallace,Los Angeles Clippers,17,3,17,14,9,4,7,3
Tyson Chandler,Phoenix Suns,85,0,42,313,35,41,11,21
Tyus Jones,Minnesota Timberwolves,75,22,34,82,125,31,56,2
Udonis Haslem,Miami Heat,2,1,0,5,3,2,0,1
Vander Blue,Los Angeles Lakers,1,0,1,1,3,3,1,0
Victor Oladipo,Indiana Pacers,326,95,157,193,148,107,71,35
Vince Carter,Sacramento Kings,39,17,6,49,25,9,19,17
Vincent Hunter,Memphis Grizzlies,3,0,0,3,0,1,0,1
Wayne Ellington,Miami Heat,145,120,29,113,38,20,27,5
Wayne Selden,Memphis Grizzlies,12,5,7,8,8,6,2,0
Wes Iwundu,Orlando Magic,39,4,11,52,28,8,9,2
Wesley Johnson,Los Angeles Clippers,86,31,26,122,35,40,42,35
Wesley Matthews,Dallas Mavericks,186,99,53,136,123,58,46,8
Will Barton,Denver Nuggets,220,76,80,197,163,70,41,25
Willie Cauley-Stein,Sacramento Kings,184,1,76,241,83,53,35,32
Willie Reed,Detroit Pistons,65,1,28,94,6,12,7,16
Willy Hernangomez,Charlotte Hornets,38,1,6,53,13,21,5,6
Wilson Chandler,Denver Nuggets,134,42,58,206,79,54,17,15
Yogi Ferrell,Dallas Mavericks,158,72,49,146,95,49,31,4
Zach Collins,Portland Trail Blazers,44,10,7,78,19,20,8,11
Zach Randolph,Sacramento Kings,233,25,63,259,76,68,30,6
Zaza Pachulia,Golden State Warriors,75,0,38,158,54,39,23,6
Zhou Qi,Houston Rockets,4,2,7,13,1,5,2,6
