PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Shabazz Napier,Brooklyn Nets,95,40,65,59,69,37,23,9
Shai Gilgeous-Alexander,Los Angeles Clippers,157,23,70,117,117,72,43,26
Shake Milton,Philadelphia 76ers,13,7,4,15,10,2,3,3
Shaquille Harrison,Chicago Bulls,71,11,37,92,56,27,44,11
Shaun Livingston,Golden State Warriors,55,0,25,65,65,21,18,16
Shelvin Mack,Charlotte Hornets,112,35,45,76,122,43,35,3
Sindarius Thornwell,Los Angeles Clippers,11,1,8,24,9,11,3,2
Skal Labissiere,Portland Trail Blazers,12,3,6,20,4,6,2,2
Solomon Hill,New Orleans Pelicans,40,18,12,90,34,21,16,7
Spencer Dinwiddie,Brooklyn Nets,240,84,179,110,222,99,27,10
Stanley Johnson,New Orleans Pelicans,111,40,33,127,43,49,34,9
Stephen Curry,Golden State Warriors,299,156,140,160,173,97,40,10
Sterling Brown,Milwaukee Bucks,65,25,9,93,34,15,10,3
Steven Adams,Oklahoma City Thunder,259,0,100,405,68,62,58,32
Svi Mykhailiuk,Detroit Pistons,29,18,8,18,23,18,10,0
T.J. Leaf,Indiana Pacers,28,3,6,40,9,7,2,2
T.J. McConnell,Philadelphia 76ers,109,8,19,79,134,51,44,9
T.J. Warren,Phoenix Suns,266,71,90,152,57,45,43,24
Taj Gibson,Minnesota Timberwolves,179,11,61,287,53,41,34,22
Taurean Prince,Atlanta Hawks,110,51,45,83,48,54,24,7
Terrance Ferguson,Oklahoma City Thunder,64,35,13,57,20,18,16,9
Terrence Ross,Orlando Magic,205,90,45,128,60,44,36,15
Terry Rozier,Boston Celtics,129,59,42,165,115,33,37,12
Thabo Sefolosha,Utah Jazz,29,13,8,73,10,15,23,1
Thaddeus Young,Indiana Pacers,230,17,48,249,70,49,68,19
Theo Pinson,Brooklyn Nets,7,1,4,10,12,4,1,0
Thomas Bryant,Washington Wizards,115,9,48,169,30,19,14,25
Thomas Welsh,Denver Nuggets,5,3,0,3,3,1,0,0
Thon Maker,Detroit Pistons,58,26,20,89,15,9,9,18
Tim Frazier,Milwaukee Bucks,61,23,17,93,142,44,18,3
Tim Hardaway Jr.,Dallas Mavericks,249,102,173,132,105,75,37,5
Timothe Luwawu-Cabarrot,Chicago Bulls,13,5,4,17,4,5,4,1
Tobias Harris,Philadelphia 76ers,322,79,139,329,91,79,30,16
Tomas Satoransky,Washington Wizards,111,29,56,115,149,50,39,7
Tony Bradley,Utah Jazz,0,0,0,3,0,1,0,0
Tony Parker,Charlotte Hornets,139,8,62,55,142,49,15,5
Tony Snell,Milwaukee Bucks,93,49,27,85,33,16,14,9
Torrey Craig,Denver Nuggets,81,29,21,144,34,27,16,18
Trae Young,Atlanta Hawks,229,62,134,122,303,168,40,11
Treveon Graham,Brooklyn Nets,7,3,2,15,6,5,3,3
Trevor Ariza,Washington Wizards,149,81,59,217,138,66,63,9
Trey Burke,Dallas Mavericks,120,25,57,58,81,24,17,2
Trey Lyles,Denver Nuggets,136,33,62,171,53,51,21,19
Tristan Thompson,Cleveland Cavaliers,164,0,54,367,73,49,28,14
Troy Brown Jr.,Washington Wizards,17,3,11,27,20,6,7,1
Troy Caupain,Orlando Magic,2,1,0,2,3,0,1,0
Troy Daniels,Phoenix Suns,41,30,8,24,9,14,13,1
Troy Williams,Sacramento Kings,40,14,9,55,10,8,10,8
Tyler Cavanaugh,Utah Jazz,0,0,0,1,0,0,0,0
Tyler Davis,Oklahoma City Thunder,0,0,0,1,0,0,0,0
Tyler Dorsey,Memphis Grizzlies,29,8,15,41,16,10,7,1
Tyler Johnson,Phoenix Suns,130,53,50,99,80,46,34,17
Tyler Lydon,Denver Nuggets,7,4,1,9,2,1,2,0
Tyler Ulis,Chicago Bulls,0,0,0,0,0,0,0,0
Tyreke Evans,Indiana Pacers,140,47,65,108,90,73,42,10
Tyrone Wallace,Los Angeles Clippers,52,0,13,49,16,13,13,7
Tyson Chandler,Los Angeles Lakers,51,0,42,254,31,32,19,16
Tyus Jones,Minnesota Timberwolves,85,20,27,69,161,25,53,2
Udonis Haslem,Miami Heat,2,0,0,5,0,2,0,0
Victor Oladipo,Indiana Pacers,227,67,94,181,160,73,52,11
Vince Carter,Atlanta Hawks,97,59,20,110,38,27,25,13
Vincent Edwards,Houston Rockets,1,1,0,1,0,0,0,0
Wade Baldwin IV,Portland Trail Blazers,8,2,8,9,10,11,0,2
Wayne Ellington,Detroit Pistons,54,46,11,42,27,13,21,3
Wayne Selden,Chicago Bulls,67,21,24,46,40,23,11,6
Wendell Carter Jr.,Chicago Bulls,174,6,88,288,74,62,24,56
Wes Iwundu,Orlando Magic,50,10,40,63,26,21,11,6
Wesley Johnson,Washington Wizards,33,19,5,54,16,12,10,7
Wesley Matthews,Indiana Pacers,162,81,79,85,85,48,30,7
Will Barton,Denver Nuggets,12,5,4,10,6,3,1,2
Willie Cauley-Stein,Sacramento Kings,247,1,78,372,111,53,48,28
Willy Hernangomez,Charlotte Hornets,91,12,61,176,33,33,10,12
Wilson Chandler,Los Angeles Clippers,67,30,10,129,55,28,14,12
Yogi Ferrell,Sacramento Kings,69,23,29,45,54,14,13,3
Yuta Watanabe,Memphis Grizzlies,2,0,2,5,0,1,0,1
Zach Collins,Portland Trail Blazers,117,23,55,187,40,47,16,37
Zach LaVine,Chicago Bulls,301,65,184,157,152,131,32,16
Zach Lofton,Detroit Pistons,0,0,0,0,0,1,1,0
Zaza Pachulia,Detroit Pistons,42,0,57,142,47,24,22,8
Zhou Qi,Houston Rockets,1,0,0,0,0,0,0,0
