Visitor/Neutral,PTS,Home/Neutral,PTS
Philadelphia 76ers,111,Houston Rockets,91
Brooklyn Nets,108,Portland Trail Blazers,114
Cleveland Cavaliers,109,Sacramento Kings,108
Oklahoma City Thunder,118,Washington Wizards,122
Phoenix Suns,99,Toronto Raptors,95
Detroit Pistons,87,Chicago Bulls,133
Golden State Warriors,108,Memphis Grizzlies,116
Minnesota Timberwolves,125,New Orleans Pelicans,128
Denver Nuggets,85,Los Angeles Clippers,87
Boston Celtics,119,Indiana Pacers,100
Charlotte Hornets,109,Philadelphia 76ers,98
Orlando Magic,106,Washington Wizards,112
Miami Heat,115,Atlanta Hawks,91
Dallas Mavericks,85,New York Knicks,108
Houston Rockets,128,San Antonio Spurs,124
Cleveland Cavaliers,111,Utah Jazz,91
Brooklyn Nets,138,Chicago Bulls,112
Los Angeles Lakers,116,Sacramento Kings,125
